RoboCar Sensor Log
Started at: 2025-05-13T13:05:23.227571
================================================================================
[2025-05-13T13:05:23.727773] POS: (0.06, 0.00, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.16 | VIB: NO | ALC: 0.12
[2025-05-13T13:05:24.227859] POS: (0.16, 0.01, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: 0.01 | VIB: NO | ALC: 0.19
[2025-05-13T13:05:24.727630] POS: (0.22, 0.02, 11.4°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: 0.20 | VIB: NO | ALC: 0.12
[2025-05-13T13:05:25.228127] POS: (0.28, 0.03, 17.2°) | VEL: linear=0.00, angular=0.50 | US: 0.28m | MAG: 0.04 | VIB: NO | ALC: 0.19
[2025-05-13T13:05:25.729381] POS: (0.35, 0.05, 17.2°) | VEL: linear=0.20, angular=0.00 | US: 0.26m | MAG: -0.02 | VIB: NO | ALC: 0.16
[2025-05-13T13:05:26.228140] POS: (0.43, 0.08, 23.0°) | VEL: linear=0.20, angular=0.00 | US: 0.96m | MAG: -0.07 | VIB: NO | ALC: 0.13
[2025-05-13T13:05:26.728235] POS: (0.52, 0.12, 23.0°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.13 | VIB: NO | ALC: 0.06
[2025-05-13T13:05:27.227776] POS: (0.61, 0.16, 23.0°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: 0.13 | VIB: NO | ALC: 0.06
[2025-05-13T13:05:27.727673] POS: (0.67, 0.19, 28.7°) | VEL: linear=0.00, angular=0.50 | US: 0.22m | MAG: 0.05 | VIB: NO | ALC: 0.14
[2025-05-13T13:05:28.227785] POS: (0.72, 0.22, 31.6°) | VEL: linear=0.20, angular=0.00 | US: 1.04m | MAG: 0.12 | VIB: NO | ALC: 0.03
[2025-05-13T13:05:28.727756] POS: (0.79, 0.26, 34.5°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: -0.12 | VIB: NO | ALC: 0.13
